epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,6002.32,0.59539,0.3435,0.91753,0.89356,0.83448,0.8335,0.67359,0.59266,0.28665,0.90505,0.000577553,0.000577553,0.000577553
99,6064.82,0.58867,0.34089,0.91591,0.91837,0.84138,0.838,0.69249,0.54147,0.27899,0.88787,0.000572054,0.000572054,0.000572054
100,6133.97,0.59665,0.34266,0.92409,0.98666,0.81955,0.83386,0.68173,0.56068,0.27409,0.89327,0.000566554,0.000566554,0.000566554
101,6191.94,0.59429,0.34664,0.92281,0.88743,0.83284,0.828,0.67601,0.56784,0.25794,0.89778,0.000561055,0.000561055,0.000561055
102,6250.42,0.58614,0.3477,0.91464,0.95136,0.81543,0.82891,0.67475,0.59562,0.29567,0.90603,0.000555556,0.000555556,0.000555556
103,6315.09,0.58598,0.33565,0.92114,0.91924,0.82416,0.83181,0.68247,0.56948,0.27848,0.89616,0.000550056,0.000550056,0.000550056
104,6378.65,0.592,0.33337,0.92653,0.88169,0.82922,0.82558,0.68306,0.56422,0.28212,0.89106,0.000544557,0.000544557,0.000544557
105,6442.38,0.57907,0.33005,0.91042,0.87156,0.8182,0.82201,0.67936,0.564,0.29153,0.89629,0.000539057,0.000539057,0.000539057
106,6501.13,0.58889,0.33416,0.91222,0.89835,0.84138,0.83337,0.69573,0.54378,0.27289,0.89007,0.000533558,0.000533558,0.000533558
107,6571.19,0.58696,0.34301,0.91679,0.89475,0.83448,0.83419,0.69547,0.54989,0.28011,0.89114,0.000528058,0.000528058,0.000528058
108,6630.11,0.57336,0.32736,0.91529,0.97202,0.82922,0.83599,0.66999,0.60654,0.28336,0.90824,0.000522559,0.000522559,0.000522559
109,6691.67,0.56857,0.33268,0.91425,0.92117,0.83612,0.83247,0.68591,0.59101,0.28121,0.90099,0.000517059,0.000517059,0.000517059
110,6750.25,0.5757,0.32659,0.91404,0.9231,0.8339,0.82798,0.68114,0.57662,0.27144,0.90012,0.00051156,0.00051156,0.00051156
111,6814.97,0.56338,0.32724,0.90599,0.89236,0.82759,0.82695,0.67826,0.57688,0.28518,0.89467,0.00050606,0.00050606,0.00050606
112,6875.19,0.5783,0.32538,0.90438,0.91221,0.83269,0.83079,0.69147,0.55795,0.29036,0.898,0.000500561,0.000500561,0.000500561
113,6939.91,0.56822,0.3191,0.9076,0.95264,0.82069,0.83276,0.6799,0.58612,0.29578,0.90154,0.000495062,0.000495062,0.000495062
114,7003.25,0.55983,0.32675,0.90294,0.91239,0.82746,0.82394,0.6874,0.56623,0.27622,0.89703,0.000489562,0.000489562,0.000489562
115,7062.03,0.55165,0.3347,0.91172,0.9618,0.83448,0.83531,0.69973,0.54523,0.26089,0.88753,0.000484063,0.000484063,0.000484063
116,7126.7,0.54361,0.31874,0.90055,0.9156,0.82922,0.82889,0.68568,0.55835,0.25721,0.8946,0.000478563,0.000478563,0.000478563
117,7185.05,0.55748,0.32067,0.90782,0.92009,0.82232,0.82205,0.6862,0.54505,0.27167,0.89345,0.000473064,0.000473064,0.000473064
118,7249.8,0.55775,0.32028,0.91117,0.9243,0.83612,0.82759,0.68112,0.58273,0.26921,0.90086,0.000467564,0.000467564,0.000467564
119,7313.51,0.55487,0.31347,0.90248,0.92411,0.82088,0.83026,0.68455,0.57903,0.27779,0.9019,0.000462065,0.000462065,0.000462065
120,7374.54,0.54516,0.3065,0.90146,0.95188,0.83037,0.83483,0.67894,0.56826,0.26031,0.89594,0.000456565,0.000456565,0.000456565
121,7436.18,0.54564,0.30888,0.90331,0.89985,0.82754,0.83294,0.68713,0.56048,0.26801,0.89563,0.000451066,0.000451066,0.000451066
