epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,8364.41,0.5751,0.32392,0.88476,0.99842,1,0.995,0.86209,0.60873,0.2174,0.82853,0.000481144,0.000481144,0.000481144
136,8424.27,0.57973,0.31107,0.88771,0.99859,1,0.995,0.85589,0.61525,0.22542,0.83068,0.000474071,0.000474071,0.000474071
137,8522,0.57271,0.31756,0.88238,0.99867,1,0.995,0.85708,0.61945,0.22569,0.8299,0.000466997,0.000466997,0.000466997
138,8582.16,0.55828,0.30678,0.87991,0.99854,1,0.995,0.85848,0.63145,0.21807,0.83363,0.000459924,0.000459924,0.000459924
139,8641.78,0.55607,0.30537,0.87684,0.99834,1,0.995,0.85284,0.62299,0.21591,0.83557,0.00045285,0.00045285,0.00045285
140,8698.13,0.56213,0.31077,0.88045,0.99866,1,0.995,0.84632,0.63386,0.21799,0.83747,0.000445777,0.000445777,0.000445777
141,8758.6,0.55824,0.31671,0.88062,0.99849,1,0.995,0.85733,0.61364,0.21579,0.82958,0.000438703,0.000438703,0.000438703
142,8818.03,0.5629,0.31339,0.87791,0.99853,1,0.995,0.85656,0.62873,0.22012,0.83412,0.000431629,0.000431629,0.000431629
143,8877.48,0.55322,0.30809,0.87595,0.99896,1,0.995,0.85718,0.62146,0.21978,0.83126,0.000424556,0.000424556,0.000424556
144,8937,0.55012,0.29501,0.87407,0.99836,1,0.995,0.84553,0.653,0.22265,0.83968,0.000417482,0.000417482,0.000417482
145,8995.67,0.53969,0.29342,0.87151,0.99857,1,0.995,0.85307,0.63841,0.22182,0.83677,0.000410409,0.000410409,0.000410409
146,9055.79,0.55672,0.31508,0.87816,0.99857,1,0.995,0.85779,0.62317,0.2161,0.83051,0.000403335,0.000403335,0.000403335
147,9108.86,0.54313,0.30487,0.87791,0.9986,1,0.995,0.8532,0.62228,0.22027,0.83281,0.000396262,0.000396262,0.000396262
148,9168.28,0.54262,0.30562,0.8791,0.99847,1,0.995,0.85129,0.64984,0.2233,0.83877,0.000389188,0.000389188,0.000389188
149,9257.76,0.54856,0.30156,0.88227,0.99849,1,0.995,0.85775,0.6364,0.21693,0.83433,0.000382115,0.000382115,0.000382115
150,9315.78,0.55031,0.29316,0.8854,0.99824,1,0.995,0.8525,0.63545,0.22301,0.83414,0.000375041,0.000375041,0.000375041
151,9402.09,0.54739,0.28602,0.88267,0.99845,1,0.995,0.85333,0.62074,0.21459,0.83185,0.000367967,0.000367967,0.000367967
152,9458.58,0.55281,0.30783,0.88118,0.99813,1,0.995,0.85734,0.62729,0.22137,0.83526,0.000360894,0.000360894,0.000360894
153,9546.49,0.52961,0.28747,0.86696,0.99825,1,0.995,0.8626,0.62798,0.22001,0.83505,0.00035382,0.00035382,0.00035382
154,9606.6,0.54567,0.3079,0.88121,0.99837,1,0.995,0.86189,0.6219,0.21469,0.8321,0.000346747,0.000346747,0.000346747
155,9692.15,0.52851,0.29193,0.86788,0.99812,1,0.995,0.85715,0.62508,0.21479,0.83351,0.000339673,0.000339673,0.000339673
156,9752.27,0.52556,0.28833,0.86431,0.99831,1,0.995,0.84964,0.63354,0.22052,0.8367,0.0003326,0.0003326,0.0003326
157,9850.63,0.52868,0.29963,0.87016,0.99829,1,0.995,0.85773,0.63363,0.21668,0.83511,0.000325526,0.000325526,0.000325526
158,9910.32,0.53158,0.29216,0.86705,0.99836,1,0.995,0.85541,0.6293,0.21554,0.8359,0.000318453,0.000318453,0.000318453
159,9969.64,0.52838,0.29702,0.8777,0.99823,1,0.995,0.86045,0.62949,0.21,0.83697,0.000311379,0.000311379,0.000311379
160,10029.2,0.51444,0.29418,0.86522,0.99825,1,0.995,0.86463,0.6215,0.21389,0.83593,0.000304306,0.000304306,0.000304306
161,10125.7,0.52379,0.28976,0.86815,0.99825,1,0.995,0.86238,0.63536,0.21356,0.83736,0.000297232,0.000297232,0.000297232
162,10185,0.5232,0.29391,0.86871,0.99854,1,0.995,0.86123,0.63047,0.21866,0.83653,0.000290158,0.000290158,0.000290158
163,10244.4,0.51478,0.29329,0.86628,0.99815,1,0.995,0.8502,0.63609,0.21033,0.83763,0.000283085,0.000283085,0.000283085
164,10303.8,0.51418,0.28932,0.87112,0.99829,1,0.995,0.85946,0.62212,0.21253,0.83378,0.000276011,0.000276011,0.000276011
165,10358.5,0.50407,0.27766,0.87069,0.9984,1,0.995,0.85597,0.63019,0.21149,0.83713,0.000268938,0.000268938,0.000268938
166,10444.1,0.50084,0.27749,0.86637,0.9982,1,0.995,0.8615,0.62916,0.21101,0.83729,0.000261864,0.000261864,0.000261864
167,10505.2,0.49614,0.26952,0.85772,0.99828,1,0.995,0.85867,0.63041,0.21566,0.83443,0.000254791,0.000254791,0.000254791
168,10563,0.50661,0.28314,0.86499,0.99822,1,0.995,0.85864,0.63038,0.21121,0.83635,0.000247717,0.000247717,0.000247717
169,10661.7,0.50463,0.28231,0.87404,0.99826,1,0.995,0.85455,0.63979,0.2141,0.83968,0.000240644,0.000240644,0.000240644
170,10714.9,0.5002,0.28331,0.86939,0.99805,1,0.995,0.84183,0.65451,0.21909,0.84183,0.00023357,0.00023357,0.00023357
171,10770.9,0.4946,0.2742,0.86901,0.99841,1,0.995,0.84648,0.64078,0.21743,0.8384,0.000226497,0.000226497,0.000226497
172,10846,0.49838,0.27879,0.86805,0.99841,1,0.995,0.85086,0.64213,0.21762,0.8394,0.000219423,0.000219423,0.000219423
173,10926.6,0.50521,0.27918,0.86814,0.99838,1,0.995,0.85002,0.64368,0.21546,0.83973,0.000212349,0.000212349,0.000212349
174,10984.9,0.50735,0.27701,0.86472,0.99832,1,0.995,0.85486,0.64003,0.21542,0.83813,0.000205276,0.000205276,0.000205276
175,11071.9,0.48892,0.27971,0.8626,0.99829,1,0.995,0.84986,0.63913,0.21592,0.83842,0.000198202,0.000198202,0.000198202
176,11132.1,0.48,0.27062,0.86122,0.99827,1,0.995,0.85836,0.63249,0.21364,0.8368,0.000191129,0.000191129,0.000191129
177,11193.1,0.48228,0.27073,0.85994,0.99832,1,0.995,0.8557,0.63891,0.21378,0.83915,0.000184055,0.000184055,0.000184055
178,11252.3,0.47839,0.27213,0.85709,0.99832,1,0.995,0.85016,0.63871,0.21246,0.83776,0.000176982,0.000176982,0.000176982
179,11308.7,0.47748,0.27583,0.86404,0.99861,1,0.995,0.85203,0.64123,0.2161,0.83811,0.000169908,0.000169908,0.000169908
180,11405.2,0.48411,0.27092,0.86397,0.99843,1,0.995,0.85568,0.63412,0.21389,0.83839,0.000162835,0.000162835,0.000162835
181,11464.5,0.47806,0.27216,0.86247,0.99849,1,0.995,0.85804,0.63928,0.21337,0.84096,0.000155761,0.000155761,0.000155761
182,11522.1,0.48423,0.26856,0.86269,0.99833,1,0.995,0.85027,0.64321,0.21323,0.84283,0.000148687,0.000148687,0.000148687
183,11576.7,0.47038,0.26173,0.85683,0.99823,1,0.995,0.8552,0.63916,0.21306,0.8418,0.000141614,0.000141614,0.000141614
184,11662.5,0.48094,0.27146,0.85276,0.99837,1,0.995,0.85027,0.64262,0.21383,0.84092,0.00013454,0.00013454,0.00013454
185,11721.3,0.48273,0.26072,0.86607,0.99836,1,0.995,0.85237,0.63902,0.21308,0.83837,0.000127467,0.000127467,0.000127467
186,11780.7,0.48285,0.26944,0.86425,0.99836,1,0.995,0.85338,0.63295,0.21129,0.83715,0.000120393,0.000120393,0.000120393
187,11866.9,0.46133,0.26633,0.85593,0.99839,1,0.995,0.85229,0.63868,0.21265,0.83893,0.00011332,0.00011332,0.00011332
188,11926.7,0.46703,0.26882,0.85794,0.99839,1,0.995,0.85565,0.64296,0.21441,0.84069,0.000106246,0.000106246,0.000106246
189,12007.8,0.46497,0.2564,0.85334,0.99823,1,0.995,0.8504,0.63852,0.21212,0.83917,9.91726e-05,9.91726e-05,9.91726e-05
