STT,Sản phẩm,Kết quả,Thời gian
10,Viên rời,"[NG] NG (2 LỖI) - OK: 1, Lỗi: 2 (vo)",2026-04-28 20:09:21
11,Viên rời,"[OK] SẢN PHẨM OK - OK: 3, Lỗi: 0 ()",2026-04-28 20:09:33
12,Viên rời,"[OK] SẢN PHẨM OK - OK: 3, Lỗi: 0 ()",2026-04-28 20:09:44
13,Viên rời,"[NG] NG (1 LỖI) - OK: 2, Lỗi: 1 (vo)",2026-04-28 20:09:46
14,Viên rời,"[OK] SẢN PHẨM OK - OK: 3, Lỗi: 0 ()",2026-04-28 20:10:06
1,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",2026-04-28 22:45:45
2,Viên rời,"[OK] SẢN PHẨM OK - OK: 0, Lỗi: 0 ()",2026-04-28 22:46:06
3,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",2026-04-28 22:46:44
1,Viên rời,"[NG] NG (1 LỖI) - OK: 1, Lỗi: 1 (vo)",2026-04-28 22:55:28
2,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-28 23:00:15
3,Viên rời,"[NG] NG (2 LỖI) - OK: 0, Lỗi: 2 (vo)",2026-04-28 23:00:26
4,Viên rời,"[OK] SẢN PHẨM OK - OK: 2, Lỗi: 0 ()",2026-04-28 23:00:54
5,Viên rời,"[NG] NG (1 LỖI) - OK: 1, Lỗi: 1 (di vat)",2026-04-28 23:01:06
6,Viên rời,"[NG] NG (1 LỖI) - OK: 1, Lỗi: 1 (vo)",2026-04-28 23:01:17
7,Viên rời,"[OK] SẢN PHẨM OK - OK: 2, Lỗi: 0 ()",2026-04-28 23:01:32
8,Viên rời,"[NG] NG (1 LỖI) - OK: 2, Lỗi: 1 (vo)",2026-04-28 23:01:51
9,Viên rời,"[NG] NG (1 LỖI) - OK: 1, Lỗi: 1 (vo)",2026-04-28 23:02:05
1,Viên rời,"[OK] SẢN PHẨM OK - OK: 1, Lỗi: 0 ()",2026-04-28 23:27:02
2,Viên rời,"[NG] NG (1 LỖI) - OK: 0, Lỗi: 1 (vo)",2026-04-28 23:32:18
1,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 1 viên (chỉ thấy 9/10 viên) | Thiếu viên trong ô: 8 ô - Vỉ chuẩn: 10 viên | Phát hiện: 9 viên,   • Vỉ bị cắt: thiếu 1 viên (chỉ thấy 9/10 viên),   • Thiếu viên trong ô: 8 ô",2026-04-29 19:22:33
1,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên) - Vỉ chuẩn: 10 viên | Phát hiện: 1 viên,   • Vỉ bị cắt: thiếu 9 viên (chỉ thấy 1/10 viên)",2026-04-29 19:29:37
2,Vỉ thuốc,"[NG] NG - Vỉ bị cắt: thiếu 6 viên (chỉ thấy 4/10 viên) | Thiếu viên trong ô: 3 ô - Vỉ chuẩn: 10 viên | Phát hiện: 4 viên,   • Vỉ bị cắt: thiếu 6 viên (chỉ thấy 4/10 viên),   • Thiếu viên trong ô: 3 ô",2026-04-29 19:30:09
